FUID,Number_of_Occurrences,Platforms,Platform_Count
FUID-EDGEB:14239-53461-00,2,AZURE,1
FUID-ENGAG:02116-57109-00,2,AZURE,1
FUID-IMMUT:07285-29827-00,2,"AWS, AZURE",2
FUID-REDHA:01014-39716-00,2,AWS,1
FUID-JAMF:04235-39813-00,2,"AWS, AZURE",2
FUID-SECUR:00920-2246-00,2,"AWS, GCP",2
FUID-NETAP:00376-8833-00,2,"AWS, AZURE",2
FUID-UCBOS:05722-26509-00,2,"AWS, AZURE",2
FUID-BLUEF:05395-21560-00,2,"AWS, AZURE",2
FUID-BCLOU:00337-57211-00,2,AZURE,1
FUID-REDHA:01014-17596-00,2,AWS,1
FUID-TULIP:06507-39853-00,2,"AWS, AZURE",2
FUID-SPEEC:11016-45220-00,2,AZURE,1
FUID-KCLOU:02068-62292-00,2,AZURE,1
FUID-PCLOU:00218-62294-00,2,AZURE,1
FUID-WORKF:14221-53384-00,2,AZURE,1
FUID-TIDAL:00029-39838-10,2,"AWS, AZURE",2
FUID-BOARD:08743-35703-00,2,AZURE,1
FUID-TIDAL:00029-71481-10,2,AZURE,1
FUID-FOXIT:08311-35631-00,2,AZURE,1
FUID-HIGHB:09881-39832-00,2,"AWS, AZURE",2
FUID-BRIGH:02496-21533-00,2,AWS,1
FUID-ATHIN:02588-35638-00,2,AZURE,1
FUID-BANSI:02130-8821-18.04,2,AWS,1
FUID-VEEAM:02452-8829-22.1,2,"AWS, AZURE",2
FUID-BITNA:00344-2383-00,2,"AZURE, GCP",2
FUID-INFRA:00476-71500-00,2,AZURE,1
FUID-HOSST:00723-39816-00,2,"AWS, AZURE",2
FUID-K2VIE:01017-2377-00,2,"AZURE, GCP",2
FUID-CISCO:01191-35630-00,2,AZURE,1
FUID-TIDAL:00029-8879-20.04,2,"AWS, AZURE",2
FUID-NETAP:00376-2304-00,2,"AZURE, GCP",2
FUID-BCLOU:00337-35709-00,2,AZURE,1
FUID-LIQUI:08775-36039-00,2,AZURE,1
FUID-PCLOU:00218-26821-00,2,AZURE,1
FUID-PCLOU:00218-62593-00,2,AZURE,1
FUID-AAGYN:15230-57557-00,2,AZURE,1
FUID-BITNA:00344-2894-00,2,"AZURE, GCP",2
FUID-BITNA:00344-2895-00,2,"AZURE, GCP",2
FUID-LITES:01057-2898-00,2,"AWS, GCP",2
FUID-FILEC:06326-40288-00,2,"AWS, AZURE",2
FUID-INFRA:00476-35091-00,2,AZURE,1
FUID-PLESK:01065-2954-00,2,"AZURE, GCP",2
FUID-RADSE:02674-8400-00,2,AWS,1
FUID-BITNA:00344-2950-00,2,"AZURE, GCP",2
FUID-OASIS:02675-8401-00,2,"AWS, AZURE",2
FUID-LINEA:02677-8404-00,2,AWS,1
FUID-SEISM:01066-2945-00,2,"AZURE, GCP",2
FUID-PLESK:01065-2938-00,2,"AZURE, GCP",2
FUID-BITNA:00344-2935-00,2,"AZURE, GCP",2
FUID-BITNA:00344-2934-00,2,"AZURE, GCP",2
FUID-NEEDL:05486-21991-00,2,"AWS, AZURE",2
